name,success
Courtney Franklin,True
Parker Decker,True
Kathryn Marks,True
Antonio Sherman,True
Victoria Walsh MD,True
Teresa Aguirre,False
Kyle Bell,True
Katie Mclaughlin,True
Derek Williams,False
Jason Roth,False
Rebecca Lewis,False
Brianna Robbins,False
Paul Morgan,False
Brett Bird,True
Gary Johnston,True
Katherine Zamora MD,True
Kristin Campbell,False
Michael Nichols,False
Ricky Mccarty,False
Edward Zhang,True
Alexis Smith,False
Steven Garcia,True
Jeffrey Blevins,True
Stacy Jensen,True
Christine Moore,False
Darrell Luna,False
Howard Hopkins,True
Lawrence Lewis,False
Ryan Garcia,False
David Harris,True
Emily Gould,False
Kyle Williams,False
Barbara Miller,True
Jill Ortiz,False
Matthew Johnson,False
Laura Ortega,True
Scott Richardson,True
Andrew Sanchez,True
Seth Jones,False
Austin Martin,False
Denise Carroll,True
Kendra Alvarez,False
Pamela Wagner,True
Chelsea Jordan,False
Michael Cooper,False
Sherry Love,False
Sean Rose,True
Kristopher Miller,True
Monica Krause,True
Christine Miller,True
Michael Fitzpatrick,False
Brandon Taylor,True
Brittney Moreno,True
Jesse Warren,False
Roy Reid,False
Michael Welch,False
Christopher Cabrera,False
Nicole Terry,True
Yvette Day,True
Peter Harmon,False
Jasmine Hudson,False
Colin Gonzalez,True
Keith Johnson,False
Denise Ramirez,True
Nicole Arnold,False
William Henry,True
Jacob Hernandez,True
Dana Graves,False
Ashley Hayes,False
Bobby Stokes,False
Sarah Ramirez,True
Juan Peterson,False
Jesse Austin,False
Daniel Sampson,False
Laura Ramos,True
Walter Rodriguez,True
Debra Clark,True
Katelyn Odonnell,True
Christina Richardson,True
Lauren Hanson MD,True
Sarah Ortiz,True
Bill Collins,True
Julie Ramirez,True
Jennifer Perry,True
Daniel Olsen,True
Charles Woodard,True
Amber Fisher,False
Antonio Munoz,False
Karen Compton,True
Zachary Daugherty,False
Christopher Crawford,True
Bryan Lamb,False
Adam Mathews,True
Maria Combs,True
Donald Brewer,True
Mary Douglas,True
Jason Love,True
Lisa Ramsey,False
Melissa Grimes,True
Victor Kirk,False
Jesse Rush,True
Karen Peterson,True
Amy Henson,False
Suzanne Hanson,False
Carlos Moss,False
Bobby Mccoy,False
Kelly Griffin,True
Joshua Sullivan,True
Melissa Clark,True
Michael Rice,True
Danielle Hayes,True
Sydney Garcia,False
Richard Pham,True
Christopher Johnson,True
Regina Wright,False
Stacey Lester,True
Rebecca Alvarez,False
Mrs. Jocelyn Hansen,False
Lisa Turner,False
Scott Johnson,True
Eddie Merritt,True
Antonio Mcdonald,True
Erin Wagner,True
Madison Wagner,True
Stephanie Allen,True
Barry Dalton,False
Robert Adams,False
Autumn Lloyd,True
Destiny Thomas,True
Suzanne Hines,True
Cody Friedman,True
Kathryn Martin,False
Andrew Scott,False
Juan Chavez,False
Tristan Lutz,False
Jordan Cuevas,False
Elizabeth Rodriguez,True
Rachel Shepherd,False
Lisa Hunter,True
Jamie Duncan,True
William Boyd,True
Brittany Neal,True
Christina Johnson,False
Diana Ruiz,False
Dennis Mahoney,False
Tanner Rogers,True
Nicholas Jones,False
Paul Hall,False
Andrea Grant,False
Kenneth Vargas,True
Timothy Miller,False
Julia Simon,False
Robert Brown,True
Kenneth Blevins,False
Nicolas Proctor,False
Andrea Suarez,True
Anna Phillips,True
Matthew Payne,False
Lydia Flores,True
Jeremy Rivera,False
Eduardo Young,True
Lauren Sanders,True
Lynn Baker,True
David Gonzalez,True
Alexandra Jones,True
Stephen Reed,False
Tracy Taylor,False
Donald Thompson,True
David Santana,False
Alyssa Perez,True
Victor Daugherty,True
Danielle Hill,True
Richard Smith,False
Susan Poole,True
James Miller,True
Carlos Ballard,False
Angelica Lopez,True
Charles Thompson,False
Joseph Blake,True
Dawn Freeman,True
Melinda Farrell,False
Margaret King,False
Mr. Christopher Clarke,False
Theresa Brown,True
Melvin Carter,True
Michael Stevenson,False
Ashley Williams,False
Christopher Baker,False
Kyle Hernandez,True
Wendy Gomez,False
Tyler White,False
Corey Castillo,True
Ivan Peterson,True
Jennifer Estrada,True
Chase Hill,False
Erik Berry,False
Samuel Butler,False
Karl Johnson,False
Courtney King,True
Todd Jones,False
Stacey White,True
Barbara Bird,False
Luke Morse,True
Michael Randall,False
Juan Mitchell,False
Wendy Figueroa,False
Darren Coleman,True
Janice Martinez,True
William Day,False
Ryan Hayes,True
Erika Dunn,False
Angelica Bishop,False
Bryan Williams,False
Gregory Alexander,False
Vanessa Garcia,True
Vincent Weaver,True
Beverly Alexander,False
Heather Green,True
